x, a priori error bound, running error bound, forward error
    9.92840E-01,     2.12792E-27,     2.09134E-27,     1.41401E-27
    9.92850E-01,     2.11337E-27,     2.07790E-27,     5.97248E-28
    9.92860E-01,     2.09891E-27,     2.06120E-27,     1.02026E-27
    9.92870E-01,     2.08452E-27,     2.04778E-27,     1.48398E-27
    9.92880E-01,     2.07021E-27,     2.03489E-27,     1.03338E-27
    9.92890E-01,     2.05599E-27,     2.01975E-27,     9.67123E-28
    9.92900E-01,     2.04184E-27,     2.00460E-27,     9.25445E-28
    9.92910E-01,     2.02778E-27,     1.98972E-27,     6.98610E-28
    9.92920E-01,     2.01379E-27,     1.97789E-27,     5.92186E-28
    9.92930E-01,     1.99988E-27,     1.96301E-27,     1.97682E-28
    9.92940E-01,     1.98606E-27,     1.94819E-27,     4.77553E-28
    9.92950E-01,     1.97230E-27,     1.93660E-27,     8.69701E-28
    9.92960E-01,     1.95863E-27,     1.92155E-27,     1.25446E-27
    9.92970E-01,     1.94504E-27,     1.90789E-27,     3.31470E-28
    9.92980E-01,     1.93152E-27,     1.89656E-27,     1.86044E-28
    9.92990E-01,     1.91807E-27,     1.88104E-27,     3.38764E-28
    9.93000E-01,     1.90471E-27,     1.86817E-27,     7.28653E-28
    9.93010E-01,     1.89142E-27,     1.85442E-27,     9.55176E-28
    9.93020E-01,     1.87821E-27,     1.84178E-27,     1.24451E-27
    9.93030E-01,     1.86507E-27,     1.82740E-27,     1.57846E-27
    9.93040E-01,     1.85201E-27,     1.81539E-27,     8.06916E-28
    9.93050E-01,     1.83902E-27,     1.80163E-27,     1.44467E-27
    9.93060E-01,     1.82611E-27,     1.78998E-27,     1.38286E-27
    9.93070E-01,     1.81327E-27,     1.77620E-27,     1.53896E-27
    9.93080E-01,     1.80050E-27,     1.76358E-27,     8.82392E-28
    9.93090E-01,     1.78781E-27,     1.75201E-27,     1.20130E-27
    9.93100E-01,     1.77519E-27,     1.73765E-27,     1.01479E-27
