x, a priori error bound, running error bound, forward error
    9.92520E-01,     4.36806E-27,     2.66564E-27,     1.03721E-27
    9.92530E-01,     4.35075E-27,     2.63289E-27,     5.54484E-28
    9.92540E-01,     4.33354E-27,     2.61333E-27,     5.22979E-28
    9.92550E-01,     4.31641E-27,     2.59545E-27,     7.70745E-29
    9.92560E-01,     4.29938E-27,     2.57243E-27,     9.98418E-28
    9.92570E-01,     4.28244E-27,     2.55608E-27,     2.45164E-28
    9.92580E-01,     4.26559E-27,     2.53481E-27,     1.26517E-27
    9.92590E-01,     4.24883E-27,     2.52019E-27,     7.95987E-28
    9.92600E-01,     4.23216E-27,     2.49399E-27,     7.23847E-28
    9.92610E-01,     4.21558E-27,     2.48332E-27,     5.70440E-28
    9.92620E-01,     4.19909E-27,     2.46625E-27,     3.84344E-28
    9.92630E-01,     4.18269E-27,     2.44488E-27,     1.48530E-27
    9.92640E-01,     4.16638E-27,     2.41835E-27,     3.56090E-28
    9.92650E-01,     4.15016E-27,     2.42088E-27,     3.86855E-28
    9.92660E-01,     4.13402E-27,     2.40459E-27,     1.58722E-27
    9.92670E-01,     4.11798E-27,     2.38082E-27,     1.16467E-27
    9.92680E-01,     4.10202E-27,     2.38443E-27,     3.33797E-28
    9.92690E-01,     4.08615E-27,     2.37769E-27,     3.97166E-28
    9.92700E-01,     4.07036E-27,     2.34986E-27,     8.53556E-28
    9.92710E-01,     4.05466E-27,     2.32721E-27,     2.38873E-28
    9.92720E-01,     4.03905E-27,     2.31595E-27,     6.40577E-28
    9.92730E-01,     4.02352E-27,     2.28111E-27,     6.17544E-28
    9.92740E-01,     4.00808E-27,     2.27466E-27,     1.60811E-27
    9.92750E-01,     3.99272E-27,     2.27455E-27,     1.56812E-27
    9.92760E-01,     3.97745E-27,     2.25003E-27,     3.74282E-28
    9.92770E-01,     3.96226E-27,     2.24070E-27,     7.57061E-28
    9.92780E-01,     3.94716E-27,     2.20004E-27,     1.48855E-28
    9.92790E-01,     3.93214E-27,     2.20116E-27,     1.21838E-27
    9.92800E-01,     3.91720E-27,     2.17825E-27,     1.20293E-28
    9.92810E-01,     3.90235E-27,     2.18245E-27,     1.53487E-27
    9.92820E-01,     3.88757E-27,     2.16099E-27,     5.25429E-28
    9.92830E-01,     3.87288E-27,     2.14648E-27,     1.96959E-28
    9.92840E-01,     3.85828E-27,     2.13694E-27,     1.41401E-27
    9.92850E-01,     3.84375E-27,     2.12214E-27,     5.97248E-28
    9.92860E-01,     3.82930E-27,     2.11853E-27,     1.02026E-27
